ImageID,NucleiID,Number_foci_method1,Number_foci_method2,Number_foci_method3,Intensity
1,1,0,0,1,10.93725539
1,2,9,0,46,642.4039497
1,3,2,0,14,962.6667103
1,4,131,29,272,1691.325513
1,5,85,12,192,917.4314043
1,6,5,0,21,613.7843414
1,7,0,0,2,11.28235343
1,8,18,0,108,1330.584372
1,9,114,28,276,1854.745145
1,10,0,0,3,11.50196108
1,11,4,0,10,248.3137364
1,12,4,0,10,261.1607962
1,13,3,1,10,335.9333485
1,14,4,0,44,831.7686652
1,15,36,2,140,896.796116
1,16,6,1,31,521.156887
1,17,11,1,31,332.2588384
1,18,52,6,117,1417.502021
1,19,1,0,2,312.7294233
1,20,1,0,3,331.2235425
2,1,8,2,68,763.6588417
2,2,68,8,151,1164.251028
2,3,352,162,482,1923.211797
2,4,155,41,288,1847.75694
2,5,234,109,357,1687.474543
2,6,84,20,162,1015.458854
2,7,12,5,31,590.9411949
2,8,88,12,188,1395.478461
2,9,5,0,25,561.9686301
3,1,43,8,95,969.749056
3,2,93,24,217,1233.858869
3,3,176,45,288,1365.34906
3,4,19,3,57,493.1176648
3,5,13,1,41,446.6078624
3,6,95,15,213,1338.035344
3,7,0,0,3,13.57254969
3,8,22,3,83,740.1137543
3,9,23,2,61,689.3411949
3,10,35,6,105,1067.290242
3,11,0,0,1,8.639216088
3,12,18,2,64,950.9843524
3,13,61,22,125,625.4823666
3,14,118,24,240,908.6431608
3,15,208,64,330,1819.949051
3,16,199,60,364,1771.607891
4,1,203,72,287,1360.662764
4,2,169,56,293,1812.08632
4,3,8,2,45,841.9647438
4,4,63,9,173,848.4000249
4,5,84,15,178,1259.55299
4,6,251,60,455,2625.615734
4,7,281,106,419,1695.431402
4,8,176,52,329,1221.713741
4,9,141,44,298,1957.376503
4,10,177,73,289,1738.498065
5,1,8,4,59,1073.717695
5,2,54,19,113,744.8588429
5,3,3,0,5,107.2902009
5,4,26,8,77,776.9333616
5,5,177,67,260,1350.823555
5,6,62,20,144,976.8000285
5,7,12,1,59,673.0902048
5,8,22,4,64,590.5176694
5,9,68,11,147,668.1882554
6,1,65,19,131,820.1529708
6,2,98,22,197,1098.901983
6,3,60,17,138,767.9255103
6,4,49,7,175,1322.78827
6,5,27,2,84,841.1608147
6,6,15,2,74,782.0039494
6,7,0,0,0,10.21176477
6,8,22,2,76,925.3294505
6,9,0,0,0,52.74902074
6,10,137,39,247,1469.509835
6,11,12,1,51,764.203948
6,12,59,11,151,882.976497
6,13,54,7,145,915.141209
6,14,76,12,208,1229.686306
6,15,32,1,103,846.431403
6,16,47,9,128,800.729436
7,1,6,1,30,653.4549198
7,2,156,42,322,1645.376497
7,3,26,8,68,748.7451247
7,4,15,1,49,891.6470974
7,5,5,4,5,18.50196116
7,6,131,40,255,1514.447109
7,7,37,9,99,1149.172599
7,8,57,10,137,801.7921802
7,9,23,1,72,514.3137403
7,10,11,1,46,340.4980522
7,11,13,1,34,441.3098177
7,12,76,8,201,1533.721621
7,13,37,5,90,1313.964753
