Name,Description,Brain1,Brain2,Brain3,Blood1,Blood2,Blood3
ENSG00000223972,DDX11L1,0,0,0.0172,0.0681,0,0.0244
ENSG00000227232,WASH7P,1.692,1.903,0.3142,2.098,0.3579,4.262
ENSG00000278267,MIR6859-1,0,0,0,0,0,0.6212
ENSG00000243485,MIR1302-2HG,0.0257,0,0.0344,0.0453,0,0
ENSG00000237613,FAM138A,0,0,0,0,0,0
ENSG00000268020,OR4G4P,0.0795,0.1267,0.071,0,0,0
ENSG00000240361,OR4G11P,0.142,0.1698,0.0951,0.0418,0,0
ENSG00000186092,OR4F5,0.0242,0.1159,0.0974,0,0,0
ENSG00000238009,RP11-34P13.7,0.0757,0.2069,0,0.1335,0,0
ENSG00000233750,CICP27,0.0129,0.0077,0.0258,0.4194,0.0323,0.5246
ENSG00000268903,RP11-34P13.15,0.5009,3.136,0.1184,75.21,5.222,159.7
ENSG00000269981,RP11-34P13.16,0.5483,2.342,0.3149,188.1,11.03,228.9
ENSG00000239906,RP11-34P13.14,0,0,0,3.888,0,14.25
ENSG00000241860,RP11-34P13.13,0.0287,0.0601,0.0192,0.2027,0.0496,1.207
ENSG00000222623,RNU6-1100P,0,0,0,0,0,0
ENSG00000241599,RP11-34P13.9,0,0,0,0,0,0
ENSG00000279928,ABC7-43046700E7.1,0,0.0467,0.0523,1.446,0,1.037
ENSG00000279457,RP11-34P13.18,2.405,2.476,0.4267,8.877,0.7005,11.28
ENSG00000273874,MIR6859-2,0,0,0,0,0,0
ENSG00000228463,AP006222.2,0.6337,0.2972,0.0999,0.4493,0.0156,0.6016
ENSG00000236679,RPL23AP24,0.0578,0.0691,0,0.1019,0,0.1097
ENSG00000236743,RP5-857K21.15,0,0,0,0,0,0
ENSG00000236601,RP4-669L17.2,0.0588,0.0351,0.0394,0,0,0
ENSG00000237094,RP4-669L17.10,0.1101,0.094,0.0211,0.3514,0.0198,0.4578
ENSG00000269732,WBP1LP7,0.1226,0.2199,0.4106,0.2162,0,0
ENSG00000278566,OR4F29,0.0948,0.085,0.127,0,0.0298,0
ENSG00000233653,CICP7,0,0,0.0122,0,0,0
ENSG00000250575,RP4-669L17.8,0.0359,0.0215,0,0.1584,0,1.159
ENSG00000278757,U6,0,0,0,0,0,0
ENSG00000230021,RP5-857K21.4,0.0296,0.0142,0.0238,0.0314,0,0.0225
ENSG00000235146,RP5-857K21.2,0,0,0,0,0,0
ENSG00000225972,MTND1P23,5015,18.59,27.64,10.02,0.902,2.271
ENSG00000225630,MTND2P28,1045,19.62,1805,101.6,4.901,136.4
ENSG00000237973,MTCO1P12,393.6,117.1,198.6,18.62,1.288,12.03
ENSG00000229344,MTCO2P12,26.98,34.06,42.09,7.826,1.025,5.14
ENSG00000240409,MTATP8P1,19.48,9.915,88.31,6.337,0.6947,6.559
ENSG00000248527,MTATP6P1,5912,48.97,7763,978.9,56.01,1129
ENSG00000198744,MTCO3P12,64.42,33.09,73.97,9.272,2.561,4.177
ENSG00000268663,WBP1LP6,0.0525,0,0.3515,0,0,0
ENSG00000273547,OR4F16,0.0948,0.0567,0.1905,0,0,0.045
ENSG00000283574,RP11-206L10.17,0,0,0,0,0,0
ENSG00000229376,CICP3,0.0363,0.0868,0.2553,0.032,0.0228,0.0345
ENSG00000228327,RP11-206L10.2,0.422,0.2854,0.1761,1.69,0.1043,7.394
ENSG00000223181,RNU6-1199P,0,0,0,0,0,0
ENSG00000229905,RP11-206L10.4,0.1464,0.0583,0.2615,0,0,0.1853
ENSG00000237491,RP11-206L10.9,0.2178,0.2893,0.3296,0.0569,0.0051,0.023
ENSG00000230092,RP11-206L10.8,0.5436,0.3001,0.2241,0.3688,0,0.794
ENSG00000177757,FAM87B,0.1523,0.2318,0.2411,0.0244,0,0.0526
ENSG00000228794,LINC01128,4.419,2.619,1.049,0.9976,0.1865,2.293
ENSG00000225880,LINC00115,1.398,1.672,0.584,1.698,0.2967,2.655
ENSG00000230368,FAM41C,0.0945,0.0188,0.1689,0,0,0.0598
ENSG00000234711,TUBB8P11,0.2713,0.0973,0.2908,0.0479,0.0341,0
ENSG00000283040,FAM166AP3,0.0431,0.0516,0.2888,0.0761,0,0
ENSG00000272438,RP11-54O7.16,0.1268,0.5306,0.1698,0.1118,0,0
ENSG00000230699,RP11-54O7.1,0.4495,0.0913,0.2614,0.015,0,0
ENSG00000241180,RP11-54O7.2,0,0,0,0,0,0
ENSG00000223764,RP11-54O7.3,0.4164,2.03,0.1931,0.0565,0.0201,0
ENSG00000187634,SAMD11,1.544,3.269,0.2757,0.1021,0.0081,0.1343
ENSG00000188976,NOC2L,21.45,14.85,3.928,23.39,1.742,50.72
ENSG00000187961,KLHL17,2.982,2.13,0.7375,5.502,0.8648,9.072
ENSG00000187583,PLEKHN1,0.2781,0.2078,0.4075,0.3219,0.0437,0.6105
ENSG00000187642,PERM1,0.1641,0.0981,0.2016,0.181,0.0859,4.142
ENSG00000272512,RP11-54O7.17,1.365,0.6504,0.5287,0.4703,0,0.9719
ENSG00000188290,HES4,36.11,21.69,4.958,9.018,0.3764,8.366
