Name,Gene Name
ENSG00000264613,"RNA, 7SL, cytoplasmic 290, pseudogene(RN7SL290P)"
ENSG00000179023,kelch domain containing 7A(KLHDC7A)
ENSG00000009307,cold shock domain containing E1(CSDE1)
ENSG00000206737,"RNA, variant U1 small nuclear 18(RNVU1-18)"
ENSG00000228523,DNAJB6 pseudogene 4(DNAJB6P4)
ENSG00000099260,palmdelphin(PALMD)
ENSG00000251785,"RNA, 5S ribosomal pseudogene 20(RNA5SP20)"
ENSG00000009780,family with sequence similarity 76 member A(FAM76A)
ENSG00000228526,MIR34A host gene(MIR34AHG)
ENSG00000274428,U1 spliceosomal RNA(LOC124904634)
ENSG00000070831,cell division cycle 42(CDC42)
ENSG00000143079,CTTNBP2 N-terminal like(CTTNBP2NL)
ENSG00000235299,mitochondrial ribosomal protein L53 pseudogene 1(MRPL53P1)
ENSG00000025800,karyopherin subunit alpha 6(KPNA6)
ENSG00000237003,ribosomal protein L36a pseudogene 11(RPL36AP11)
ENSG00000159409,CUGBP Elav-like family member 3(CELF3)
ENSG00000092621,phosphoglycerate dehydrogenase(PHGDH)
ENSG00000143061,immunoglobulin superfamily member 3(IGSF3)
ENSG00000169231,thrombospondin 3(THBS3)
ENSG00000227684,CROCC pseudogene 4(CROCCP4)
ENSG00000067208,ecotropic viral integration site 5(EVI5)
ENSG00000168389,"MFSD2 lysolipid transporter A, lysophospholipid(MFSD2A)"
ENSG00000227207,ribosomal protein L31 pseudogene 12(RPL31P12)
ENSG00000162600,OMA1 zinc metallopeptidase(OMA1)
ENSG00000162601,"Myb like, SWIRM and MPN domains 1(MYSM1)"
ENSG00000183520,UTP11 small subunit processome component(UTP11)
ENSG00000123472,ATP synthase mitochondrial F1 complex assembly factor 1(ATPAF1)
ENSG00000143067,zinc finger protein 697(ZNF697)
ENSG00000123473,STIL centriolar assembly protein(STIL)
ENSG00000212161,small nucleolar RNA SNORD64(LOC124900450)
ENSG00000236155,"zona pellucida like domain containing 2, pseudogene(ZPLD2P)"
ENSG00000162604,TM2 domain containing 1(TM2D1)
ENSG00000162607,ubiquitin specific peptidase 1(USP1)
ENSG00000116704,solute carrier family 35 member D1(SLC35D1)
ENSG00000090432,mitochondrial E3 ubiquitin protein ligase 1(MUL1)
ENSG00000066322,ELOVL fatty acid elongase 1(ELOVL1)
