"Taxonomy_ID","Organism_Name","Host","GC_content","Size_Kb","Number_Of_Proteins"
2590572,"Persimmon waikavirus","land plants",43.1,12.117,1
2692093,"Plasmopara viticola lesion associated yadokari virus 1","fungi",45.8,2.879,1
1458713,"Mycobacterium phage Numberten","bacteria",66.5,68.607,102
2704031,"Alteromonas phage vB_AmeM_PT11-V22","bacteria",38.4,92.76,156
2250299,"Mycobacterium phage Hangman","bacteria",68.9,71.376,97
2664940,"Ocimum golden mosaic virus","land plants",40.9738,5.43,8
2483671,"Gordonia phage Kroos","bacteria",68.1,57.973,85
2563582,"Pseudomonas phage vB_Pae_CF63a","bacteria",63.7,62.695,65
1391030,"Faecal-associated gemycircularvirus 1c","vertebrates",52.1,2.185,2
2517944,"Mycobacterium phage Cornucopia","bacteria",61.4,55.422,105
341711,"Tomato leaf curl Pakistan virus","land plants",43.9,2.759,6
2873458,"Pseudomonas phage QAC","bacteria",57.7,40.336,48
1868825,"Bacillus phage vB_BtS_BMBtp13","bacteria",35,26.471,30
647294,"Sweet potato badnavirus B","land plants",44.2,7.961,5
2733395,"Pseudomonas phage Epa15","bacteria",55.6,66.002,103
2653275,"Microbacterium phage SansAfet","bacteria",66.7,41.531,70
632121,"Gossypium mustelinum symptomless alphasatellite [Gossypium latifolium]","land plants",42.6,1.396,1
2510470,"Klebsiella phage ST512-KPC3phi13.2","bacteria",51.9,32.302,44
223337,"Tobacco leaf curl Zimbabwe virus","land plants",43.4,2.767,6
259538,"Potato virus Y strain nnp","land plants",41.7,9.699,1
2268590,"Pseudomonas phage SRT6","bacteria",49.3,91.364,170
1796016,"Pacific flying fox faeces associated circular DNA virus-7","vertebrates",43.8,2.722,2
367798,"Cucumber mosaic virus (strain Ri-8)","land plants",46.3103,8.601,5
1923225,"Hubei sobemo-like virus 38","invertebrates",40.2,2.768,3
1718279,"Streptococcus phage 73","bacteria",38.8,36.733,46
2041337,"Staphylococcus phage SAJK-IND","bacteria",36.6,32.172,37
1217810,"Pectobacterium phage PP1","bacteria",49.7,44.4,48
1923386,"Sanxia tombus-like virus 2","invertebrates",44.1,3.557,3
2576451,"Reptile-associated circular DNA molecule","vertebrates",49,3.209,2
1698356,"Mycobacterium phage Phatniss","bacteria",61.3,57.293,101
1874584,"Lactococcus phage MW18S","bacteria",34.8,31.877,56
1675551,"Mycobacterium phage Godines","bacteria",69,67.277,91
126070,"Columbid circovirus","vertebrates",55.2,2.037,6
2696417,"Escherichia phage megetsur","bacteria",55.8,42.132,54
1922813,"Changjiang tombus-like virus 2","invertebrates",47.4,3.015,2
384359,"Ralstonia phage RSM1","bacteria",60,9.004,15
