"Taxonomy_ID","Organism_Name","Group","SubGroup","Common_Name","GC_content","Size_Mb","Number_Of_Proteins"
2711,"Citrus sinensis","Plants","Land Plants","apfelsine",37.5,319.225,51718
2769,"Chondrus crispus","Other","Other","carageen",52.8585,104.98,9807
3512,"Quercus rubra","Plants","Land Plants","red oak",34.9579,738.996,47694
3555,"Beta vulgaris subsp. vulgaris","Plants","Land Plants","field beet",35.8516,541.053,37942
3634,"Gossypium barbadense","Plants","Land Plants","Egyptian cotton",35.6,1394.24,40359
3635,"Gossypium hirsutum","Plants","Land Plants","American cotton",34.3773,2306.07,111844
3641,"Theobroma cacao","Plants","Land Plants","chocolate",34.6855,345.994,44186
3649,"Carica papaya","Plants","Land Plants","mamon",39.0069,370.419,26103
3656,"Cucumis melo","Plants","Land Plants","Oriental melon",36.0551,438.408,35817
3659,"Cucumis sativus","Plants","Land Plants","cucumbers",32.8384,226.641,30919
3661,"Cucurbita maxima","Plants","Land Plants","Boston marrow",36.6,271.413,42777
3662,"Cucurbita moschata","Plants","Land Plants","ayote",36.8,269.943,43715
3664,"Cucurbita pepo subsp. pepo","Plants","Land Plants","field pumpkin",37.2295,260.364,43464
3673,"Momordica charantia","Plants","Land Plants","balsam pear",35.8,285.614,28666
3694,"Populus trichocarpa","Plants","Land Plants","western balsam poplar",33.775,392.319,52498
3702,"Arabidopsis thaliana","Plants","Land Plants","mouse-ear cress",36.0529,119.669,48265
3708,"Brassica napus","Plants","Land Plants","oilseed rape",37.8,848.2,61153
3728,"Sinapis alba","Plants","Land Plants","bai jie",36.8,449.668,52686
3750,"Malus domestica","Plants","Land Plants","apple tree",39.359,703.358,52039
3755,"Prunus dulcis","Plants","Land Plants","sweet almond",37.8545,227.757,33326
3816,"Abrus precatorius","Plants","Land Plants","crab's eye",31.8,347.23,40048
3818,"Arachis hypogaea","Plants","Land Plants","goober",36.3706,2506.71,82972
3824,"Canavalia gladiata","Plants","Land Plants","Japanese jack bean",31.9683,614.526,71510
3827,"Cicer arietinum","Plants","Land Plants","garbanzo",32.6705,530.894,35754
3847,"Glycine max","Plants","Land Plants","soybeans",35.1261,1000.03,88253
3848,"Glycine soja","Plants","Land Plants","wild soybean",35.2469,1013.77,69277
3885,"Phaseolus vulgaris","Plants","Land Plants","French bean",36.2199,521.077,32720
3886,"Phaseolus coccineus","Plants","Land Plants","scarlet runner bean",36.6097,588.672,60083
3888,"Pisum sativum","Plants","Land Plants","pea",37.9728,3796.07,51160
3891,"Psophocarpus tetragonolobus","Plants","Land Plants","asparagus bean",31.505,709.758,57607
3899,"Trifolium repens","Plants","Land Plants","creeping white clover",33.691,968.216,87928
3906,"Vicia faba","Plants","Land Plants","broad bean",37.4564,11914.5,37210
3914,"Vigna angularis","Plants","Land Plants","azuki bean",34.6138,467.301,37662
3915,"Vigna mungo","Plants","Land Plants","urad dal",33.5847,479.277,37994
3916,"Vigna radiata var. radiata","Plants","Land Plants","golden gram",34.3983,463.638,42284
3981,"Hevea brasiliensis","Plants","Land Plants","jebe",35.7,1373.53,57978
3983,"Manihot esculenta","Plants","Land Plants","manioc",37.5651,640.431,49290
3986,"Mercurialis annua","Plants","Land Plants","herb mercury",33.9318,453.169,33382
4058,"Catharanthus roseus","Plants","Land Plants","chatas",34.1711,572.922,36664
4097,"Nicotiana tabacum","Plants","Land Plants","American tobacco",39.2006,3643.47,84255
4113,"Solanum tuberosum","Plants","Land Plants","potatoes",35.2116,754.204,38661
4155,"Erythranthe guttata","Plants","Land Plants","common monkey flower",36.3144,322.167,31861
4170,"Striga asiatica","Plants","Land Plants","witchweed",35.4,471.563,33426
4182,"Sesamum indicum","Plants","Land Plants","beniseed",35.2239,275.059,35410
4212,"Ambrosia artemisiifolia","Plants","Land Plants","annual ragweed",25.7,1258.36,34035
4236,"Lactuca sativa","Plants","Land Plants","cultivated lettuce",37.9275,2590.37,47803
4432,"Nelumbo nucifera","Plants","Land Plants","Indian lotus",38.972,821.286,617
4442,"Camellia sinensis","Plants","Land Plants","black tea",38.7999,3105.37,76698
4465,"Acorus calamus","Plants","Land Plants","flagroot",37.5182,721.749,45828
4513,"Hordeum vulgare","Plants","Land Plants","barley",44.3,4006.12,55706
4530,"Oryza sativa","Plants","Land Plants","red rice",43.3523,377.604,38657
4540,"Panicum miliaceum","Plants","Land Plants","broom millet",46.8958,854.793,55964
4558,"Sorghum bicolor","Plants","Land Plants","broomcorn",44.0094,729.38,41048
4565,"Triticum aestivum","Plants","Land Plants","Canadian hard winter wheat",46.3,507.677,6753
4577,"Zea mays","Plants","Land Plants","maize",46.7831,2182.79,57578
4628,"Canna indica","Plants","Land Plants","canna",38.3647,752.924,29421
4787,"Phytophthora infestans","Protists","Other Protists","potato late blight",51.7,230.945,23771
4792,"Phytophthora nicotianae","Protists","Other Protists","brown rot and root rot of citrus agent",49.6,48.0752,26824
4932,"Saccharomyces cerevisiae","Fungi","Ascomycetes","baker's yeast",38.4,14.4554,7242
5022,"Plenodomus lingam","Fungi","Ascomycetes","blackleg of canola fungus",45.7,42.0378,11837
5217,"Tremella mesenterica","Fungi","Basidiomycetes","witches' butter",41.3,27.1109,8074
5322,"Pleurotus ostreatus","Fungi","Basidiomycetes","shimeji",50.8922,35.3781,29617
5627,"Grifola frondosa","Fungi","Basidiomycetes","maitake",50,39.2893,15039
5763,"Naegleria fowleri","Protists","Other Protists","brain-eating amoeba",36.8823,29.5499,13816
6130,"Acropora cervicornis","Animals","Other Animals","staghorn coral",38.9,307.446,28059
6198,"Opisthorchis viverrini","Animals","Flatworms","Southeast Asian liver fluke",44.2,620.453,16356
6216,"Hymenolepis diminuta","Animals","Flatworms","rat tapeworm",33.4,177.074,19306
6279,"Brugia malayi","Animals","Roundworms","agent of lymphatic filariasis",28.5,87.1557,14388
6287,"Dirofilaria immitis","Animals","Roundworms","canine heartworm nematode",27.7,86.8138,9741
6289,"Haemonchus contortus","Animals","Roundworms","red stomach worm",42.5079,465.721,12
6293,"Wuchereria bancrofti","Animals","Roundworms","agent of lymphatic filariasis",29.7,81.5092,19323
6326,"Bursaphelenchus xylophilus","Animals","Roundworms","pine wilt nematode",40.4,78.274,15860
6454,"Haliotis rufescens","Animals","Other Animals","California red abalone",40.9,1334.45,55609
6526,"Biomphalaria glabrata","Animals","Other Animals","bloodfluke planorb",36.135,870.963,69118
6550,"Mytilus edulis","Animals","Other Animals","blue mussel",32.2,1827.09,73834
6551,"Mytilus trossulus","Animals","Other Animals","bay mussel",32.3734,1298.59,12
6573,"Mizuhopecten yessoensis","Animals","Other Animals","ezo giant scallop",37.6,987.589,41556
6596,"Mercenaria mercenaria","Animals","Other Animals","northern quahog",35.1388,1777.63,60828
6687,"Penaeus monodon","Animals","Other Animals","giant tiger prawn",38.8231,2391.06,32816
6689,"Penaeus vannamei","Animals","Other Animals","white Pacific shrimp",37.1,1663.58,33273
6832,"Tigriopus californicus","Animals","Other Animals","tidepool copepod",42.3168,191.143,15577
6941,"Rhipicephalus microplus","Animals","Other Animals","cattle tick",45.7731,2529.93,24211
6945,"Ixodes scapularis","Animals","Other Animals","blacklegged tick",46.2,2226.88,34235
7010,"Schistocerca gregaria","Animals","Insects","desert locust",42.5599,8742.43,37988
7011,"Schistocerca nitens","Animals","Insects","gray bird locust",42.613,8822.57,28445
7038,"Bemisia tabaci","Animals","Insects","sweet potato whitefly",39.8996,615.017,22737
7054,"Photinus pyralis","Animals","Insects","North American firefly",36.4,471.511,32294
7070,"Tribolium castaneum","Animals","Insects","rust-red flour beetle",35.1893,165.944,22598
7091,"Bombyx mori","Animals","Insects","silk moth",38.5545,460.35,27296
7107,"Spodoptera exigua","Animals","Insects","pigweed caterpillar",36.5,419.278,18477
7109,"Spodoptera littoralis","Animals","Insects","Egyptian cotton leafworm",36.9552,435.647,13294
7113,"Helicoverpa zea","Animals","Insects","bollworm",36.8486,375.181,23696
7116,"Pieris brassicae","Animals","Insects","cabbage butterfly",34.1169,292.326,21929
7130,"Manduca sexta","Animals","Insects","Carolina sphinx",35.9,419.424,27130
7141,"Choristoneura fumiferana","Animals","Insects","spruce budworm",38.1026,575.343,22898
7160,"Aedes albopictus","Animals","Insects","forest day mosquito",40.4,2535.64,39341
7213,"Ceratitis capitata","Animals","Insects","medfly",35.0995,436.491,22949
7375,"Lucilia cuprina","Animals","Insects","greenbottle fly",29.3803,409.162,22082
7396,"Glossina fuscipes","Animals","Insects","tsetse fly",34.2,389.358,22234
7460,"Apis mellifera","Animals","Insects","bee",32.6352,225.251,23471
7461,"Apis cerana","Animals","Insects","Eastern honeybee",34.9,228.332,20920
7462,"Apis dorsata","Animals","Insects","rock honeybee",32.5,230.34,20012
7463,"Apis florea","Animals","Insects","dwarf honeybee",34.8984,229.015,18628
7668,"Strongylocentrotus purpuratus","Animals","Other Animals","purple urchin",37.4001,921.856,38439
